##########
# 2016-11-22 10:03:52.738390235 +0100 CET Data Acquisition
# Acquisition name: event
# Acquisition num: 51
# Accelerometer full scale: 2 (16384.000000)
# Gyroscope full scale: 250 (131.000000)
##########
num; time(us); accX(g); accY(g); accZ(g); gyrX(o/s); gyrY(o/s); gyrZ(o/s)
118;228333;0.066895;0.162109;1.011230;0.480916;0.175573;-0.671756
119;230529;0.057129;0.160156;1.012207;0.732824;0.007634;-0.534351
120;232330;0.056641;0.163086;1.018066;0.389313;0.038168;-0.603053
121;234358;0.060547;0.168945;1.019531;0.664122;0.328244;-0.496183
122;236139;0.061035;0.156250;1.012695;0.671756;-0.030534;-0.603053
123;238159;0.062500;0.160156;1.013184;0.320611;0.137405;-0.572519
124;239971;0.062988;0.162598;1.017578;0.526718;0.030534;-0.633588
125;242097;0.055664;0.162598;1.019531;0.465649;0.206107;-0.488550
126;243838;0.059082;0.166992;1.027832;0.427481;0.007634;-0.320611
127;245859;0.056641;0.173340;1.015625;0.503817;0.114504;-0.549618
128;247605;0.056641;0.163574;1.019531;0.824427;0.114504;-0.564885
129;249725;0.062012;0.171875;1.017578;0.702290;0.221374;-0.534351
130;251517;0.064453;0.163086;1.012207;0.877863;-0.045802;-0.618321
131;253518;0.058105;0.159668;1.001953;0.961832;-0.030534;-0.488550
132;255244;0.053711;0.158203;1.014648;0.969466;0.061069;-0.419847
133;257331;0.062500;0.160156;1.018066;1.122137;0.190840;-0.603053
134;259068;0.055664;0.163574;1.012207;1.038168;-0.137405;-0.801527
135;261164;0.056152;0.159180;1.024902;1.198473;-0.076336;-0.564885
136;262916;0.062012;0.155762;1.011230;1.412214;-0.007634;-0.671756
137;264944;0.054688;0.158691;1.013672;1.198473;-0.213740;-0.564885
138;266681;0.049316;0.164062;1.016113;1.328244;-0.183206;-0.618321
139;268785;0.058105;0.161133;1.019043;1.312977;-0.389313;-0.458015
140;270539;0.054199;0.162109;1.018555;1.519084;-0.213740;-0.480916
141;272668;0.056152;0.170410;1.018555;1.091603;-0.282443;-0.351145
142;274410;0.058105;0.166504;1.027344;1.450382;-0.351145;-0.610687
143;276426;0.061523;0.164062;1.017578;1.534351;-0.198473;-0.503817
144;278161;0.062012;0.163086;1.011230;1.618321;-0.404580;-0.381679
145;280568;0.055664;0.159180;0.998535;1.648855;-0.343511;-0.412214
146;282314;0.054688;0.167969;1.016113;1.977099;-0.335878;-0.511450
147;284329;0.058594;0.156250;1.033203;1.938931;-0.152672;-0.694656
148;286068;0.056641;0.162109;1.011719;1.893130;-0.045802;-0.480916
149;288220;0.060059;0.167969;1.015137;1.641221;-0.259542;-0.412214
